Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
68353261,100.0,6,0.0,35.0,0.6
68404087,93.0,6,-14.0,32.0,0.6
68443482,87.5,6,-25.0,43.0,0.6
68646423,91.5,6,-17.0,45.0,0.6
68839955,100.0,6,0.0,132.0,0.6
68901214,88.0,6,-24.0,112.0,0.6
69023507,61.67,5,-29.0,133.0,0.6
69034095,48.33,4,-22.0,140.0,0.6
69106678,84.17,6,-9.67,37.0,0.6
69309190,83.33,5,0.0,140.0,0.6
69563061,8.33,1,0.0,113.0,0.6
70081802,45.33,6,18.0,125.0,0.6
70127686,78.17,6,-39.0,107.0,0.6
70265517,96.0,6,-4.67,56.0,0.6
70665806,100.0,6,0.0,18.0,0.6
70822325,84.0,6,4.0,122.0,0.6
71014394,55.17,6,-34.33,105.0,0.6
71049099,97.67,6,-4.67,57.0,0.6
71065720,100.0,6,0.0,15.0,0.6
71082361,95.0,6,-10.0,8.0,0.6
71373382,43.83,5,-13.5,39.0,0.6
71790299,71.67,5,-29.5,54.0,0.6
72116436,72.0,6,-19.33,55.0,0.6
72136471,98.0,6,-4.0,102.0,0.6
72308679,79.83,6,21.67,131.0,0.6
72496892,96.33,6,-7.33,52.0,0.6
72537638,30.33,2,-18.0,140.0,0.6
72735869,89.33,6,9.33,44.0,0.6
72827820,0.0,0,0.0,140.0,0.6
72929888,100.0,6,0.0,31.0,0.6
72970314,65.67,5,-53.0,140.0,0.6
73015180,53.5,6,-11.67,60.0,0.6
73115871,96.67,6,1.33,39.0,0.6
73219758,72.67,6,-31.33,46.0,0.6
73224306,80.17,6,-23.67,123.0,0.6
73498893,61.5,6,-28.33,130.0,0.6
73557003,63.17,6,-41.67,104.0,0.6
73779400,87.17,6,-9.0,52.0,0.6
73958512,20.33,2,66.0,140.0,0.6
74112974,96.67,6,-6.67,105.0,0.6
74341696,87.0,6,-25.33,40.0,0.6
74452358,78.83,6,-37.0,50.0,0.6
74558525,88.33,6,-8.67,114.0,0.6
74711966,87.83,6,-24.33,132.0,0.6
74746631,99.17,6,-1.67,114.0,0.6
74779884,100.0,6,0.0,2.0,0.6
74963938,99.83,6,-0.33,41.0,0.6
75190992,51.5,5,-55.5,117.0,0.6
75210751,84.5,6,-15.67,137.0,0.6
75684190,63.0,4,-9.0,135.0,0.6
75715775,95.33,6,-9.33,123.0,0.6
76138889,99.17,6,-0.33,32.0,0.6
76510898,19.5,3,8.0,140.0,0.6
76539077,98.0,6,-4.0,58.0,0.6
76576071,5.33,1,0.0,140.0,0.6
76714430,3.17,1,0.0,140.0,0.6
76821156,76.17,6,-44.33,140.0,0.6
76935586,64.17,6,-24.33,140.0,0.6
77027493,98.17,6,-3.67,47.0,0.6
77386168,100.0,6,0.0,19.0,0.6
77434708,84.17,6,-31.67,129.0,0.6
77630350,100.0,6,0.0,31.0,0.6
77669391,87.67,6,-24.67,58.0,0.6
77816651,87.67,6,-24.67,20.0,0.6
78282477,94.0,6,-12.0,110.0,0.6
78494297,92.5,6,-11.67,106.0,0.6
78544164,98.0,6,-4.0,17.0,0.6
78594106,68.67,6,-53.33,59.0,0.6
